MOF structural features and topology,composition,Cv_gravimetric_300.00 (gravimetric heat capacity at 300 K),pCv_250.00 (predicted gravimetric heat capacity at 250 K),pCv_275.00 (predicted gravimetric heat capacity at 275 K),pCv_300.00 (predicted gravimetric heat capacity at 300 K),pCv_325.00 (predicted gravimetric heat capacity at 325 K),pCv_350.00 (predicted gravimetric heat capacity at 350 K),pCv_375.00 (predicted gravimetric heat capacity at 375 K),pCv_400.00 (predicted gravimetric heat capacity at 400 K)
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.181398714,8.034518053,8.882483841,9.71582413,10.52682336,11.30950233,12.05951256
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,6.920672739,7.700933418,8.478663192,9.2472414,10.0010992,10.73549194,11.4464759
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.742121088,8.57258582,9.381357861,10.16729914,10.92836895,11.66214904,12.36633009
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.080608797,7.845147815,8.601565837,9.345067592,10.0718245,10.77859072,11.46260709
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.915908872,10.6630026,11.38485006,12.07940299,12.7448124,13.37963981,13.98295851
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,6.982747427,7.757095821,8.523489213,9.27672154,10.01269336,10.72799453,11.41978014
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,6.900323874,7.663915213,8.431825489,9.196053066,9.949641347,10.68662526,11.40206785
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.882439846,8.685694437,9.47817706,10.25523725,11.01209157,11.74436538,12.44844081
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.703628518,10.46928239,11.20890095,11.91980235,12.59997661,13.24802952,13.86315801
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.697059839,10.46701832,11.21017494,11.92422052,12.60727793,13.25797522,13.8754914
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.980938086,10.73498554,11.45816063,12.14951557,12.80860142,13.43525326,14.02954587
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.972940636,10.7423024,11.47854366,12.18102355,12.84949851,13.483965,14.08464589
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.405963735,8.239012772,9.052410071,9.843942504,10.61113427,11.35143113,12.06249903
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,11.31362182,12.13507781,12.9027739,13.62134072,14.29430608,14.92445948,15.51414483
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.523322147,10.28817491,11.03222389,11.75154639,12.44264813,13.10286344,13.7304527
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,8.463529458,9.267743195,10.05576519,10.82393315,11.56846529,12.28587908,12.9733053
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.95799098,8.725124688,9.482161359,10.22580932,10.95230229,11.65787047,12.33913563
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.543621009,10.30367486,11.04328144,11.75864056,12.44629464,13.10356554,13.72867577
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.642132652,10.43122844,11.19467573,11.92933416,12.63233632,13.30152003,13.93556203
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.957455284,8.721952704,9.476382004,10.2175657,10.94181353,11.64540111,12.32497108
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.619256973,10.40308258,11.16377919,11.89691099,12.59899708,13.26760474,13.9013014
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.936532502,8.707973057,9.469988232,10.21892852,10.95072296,11.66136772,12.34732283
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.872966291,8.770511187,9.641362975,10.48199408,11.28926084,12.06054062,12.79390285
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,6.859476727,7.651959492,8.437152982,9.209453077,9.96418007,10.69737017,11.40574599
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.412810699,10.19551338,10.956904,11.69192198,12.3966543,13.06840009,13.70557159
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.157759071,8.021290514,8.879389884,9.722096349,10.54141891,11.33126007,12.08726119
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.542262149,8.321281649,9.08574701,9.831123072,10.55422865,11.25268952,11.9246982
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,10.00394517,10.74380111,11.46057541,12.15158973,12.81449679,13.44748173,14.04934611
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,6.827372866,7.608625026,8.383988222,9.148680399,9.898307568,10.62882993,11.33668258
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.839725433,8.666769903,9.472120729,10.25459083,11.01212571,11.74232051,12.4428955
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.101667874,7.867189223,8.620689568,9.358881231,10.07909604,10.77892066,11.45615306
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.892541933,8.698099687,9.492358834,10.27072848,11.0284877,11.76132504,12.46568325
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.181395907,8.034512637,8.882476574,9.71581563,10.52681411,11.30949272,12.05950286
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,6.920709709,7.700968639,8.478696831,9.247273456,10.00112961,10.73552066,11.44650288
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.742083141,8.572541343,9.38130872,10.16724686,10.92831478,11.66209397,12.3662749
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.080614983,7.845159866,8.601581228,9.345084554,10.07184182,10.77860759,11.46262301
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.915912406,10.6630101,11.38486112,12.07941708,12.74482895,13.37965828,13.98297838
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,6.982760464,7.757110267,8.523502728,9.276732603,10.01270109,10.72799852,11.41978033
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,6.900338991,7.663931197,8.43184209,9.196070061,9.94965855,10.68664251,11.40208503
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,7.882419491,8.685678852,9.478166078,10.25523051,11.0120886,11.74436567,12.44844386
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.703670801,10.46931836,11.20893196,11.91982937,12.60000036,13.24805051,13.86317667
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.697099223,10.46705488,11.21020906,11.92425248,12.60730797,13.25800351,13.87551809
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.980945472,10.73499197,11.45816478,12.14951675,12.8085994,13.43524809,14.02953778
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,9.973003133,10.74235716,11.47859145,12.18106514,12.84953465,13.48399637,14.08467311
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,14.66314596,15.40542911,16.07518546,16.68242204,17.23494385,17.73903481,18.19990651
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.75532503,16.43619444,17.04116951,17.58284401,18.07115051,18.51391016,18.9173053
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,19.58388741,20.12569985,20.56097036,20.91656328,21.21160527,21.45993115,21.67169891
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.77238131,16.44165925,17.03801799,17.57297606,18.05588128,18.49423053,18.89401646
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,14.97649675,15.71015847,16.37124617,16.96929972,17.51186049,18.00511388,18.45429701
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,14.62493538,15.40735646,16.10748115,16.7373127,17.30611108,17.82127255,18.2889025
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.32806404,16.06068543,16.7077507,17.28384471,17.80053463,18.26694813,18.69029285
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,12.24344874,13.25693265,14.1828276,15.02609463,15.79245827,16.48795393,17.11863719
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.5639102,16.30237799,16.96302961,17.55710985,18.09345164,18.57915379,19.02005663
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.82090151,16.50063494,17.10932509,17.65775643,18.15442864,18.6060875,19.01815731
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.4189664,16.12256267,16.74852809,17.31031066,17.81802096,18.27939504,18.70046562
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.53623125,16.27757546,16.93959378,17.5347528,18.07226931,18.55928409,19.00156897
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,12.16760092,13.20381487,14.15090965,15.01304835,15.79560015,16.50456541,17.14616322
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",,,15.79463064,16.43267731,17.01445747,17.54617533,18.03275278,18.47834186,18.88660737
