smiles,inchi,selfies,iupac,lipophilicity
CC1(CCC(=O)N1Cc2cccs2)C(=O)NC3CCCCC3,"InChI=1S/C17H24N2O2S/c1-17(16(21)18-13-6-3-2-4-7-13)10-9-15(20)19(17)12-14-8-5-11-22-14/h5,8,11,13H,2-4,6-7,9-10,12H2,1H3,(H,18,21)",[C][C][Branch2][Ring1][C][C][C][C][=Branch1][C][=O][N][Ring1][=Branch1][C][C][=C][C][=C][S][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][C][C][C][C][Ring1][=Branch1],n-cyclohexyl-2-methyl-5-oxo-1-(thiophen-2-ylmethyl)pyrrolidine-2-carboxamide,2.15
Nc1nc(SCc2ccccc2)nc3c1ncn3[C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O,"InChI=1S/C17H19N5O4S/c18-14-11-15(21-17(20-14)27-7-9-4-2-1-3-5-9)22(8-19-11)16-13(25)12(24)10(6-23)26-16/h1-5,8,10,12-13,16,23-25H,6-7H2,(H2,18,20,21)/t10-,12-,13-,16-/m1/s1",[N][C][=N][C][Branch1][O][S][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][=C][Ring1][=C][N][=C][N][Ring1][Branch1][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Ring1][Branch2][O],"(2r,3r,4s,5r)-2-[6-amino-2-(phenylmethylsulfanyl)purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",1.24
COc1ccc2cc(ccc2c1)[C@H](C)C(=O)O,"InChI=1S/C14H14O3/c1-9(14(15)16)10-3-4-12-8-13(17-2)6-5-11(12)7-10/h3-9H,1-2H3,(H,15,16)/t9-/m0/s1",[C][O][C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C@H1][Branch1][C][C][C][=Branch1][C][=O][O],(2s)-2-(6-methoxynaphthalen-2-yl)propanoic acid,0.13
CN(C)C1=C(C)N(C)N(C1=O)c2ccccc2,"InChI=1S/C13H17N3O/c1-10-12(14(2)3)13(17)16(15(10)4)11-8-6-5-7-9-11/h5-9H,1-4H3",[C][N][Branch1][C][C][C][=C][Branch1][C][C][N][Branch1][C][C][N][Branch1][Branch1][C][Ring1][#Branch1][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],"4-dimethylamino-1,5-dimethyl-2-phenylpyrazol-3-one",0.78
CCC(CC)CNC(=O)c1ccc2c(c1)c(Cc3ccc(cc3OC)C(=O)NS(=O)(=O)c4ccccc4C)cn2C,"InChI=1S/C32H37N3O5S/c1-6-22(7-2)19-33-31(36)24-14-15-28-27(17-24)26(20-35(28)4)16-23-12-13-25(18-29(23)40-5)32(37)34-41(38,39)30-11-9-8-10-21(30)3/h8-15,17-18,20,22H,6-7,16,19H2,1-5H3,(H,33,36)(H,34,37)",[C][C][C][Branch1][Ring1][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch2][Ring2][Ring1][C][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][O][C][C][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][N][Ring2][Ring1][N][C],n-(2-ethylbutyl)-3-[[2-methoxy-4-[(2-methylphenyl)sulfonylcarbamoyl]phenyl]methyl]-1-methylindole-5-carboxamide,2.7
CC(C(=O)O)c1ccc(c(F)c1)c2ccccc2,"InChI=1S/C15H13FO2/c1-10(15(17)18)12-7-8-13(14(16)9-12)11-5-3-2-4-6-11/h2-10H,1H3,(H,17,18)",[C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][Branch2][C][Branch1][C][F][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],2-(3-fluoro-4-phenylphenyl)propanoic acid,0.85
COC[C@H](C)Oc1cc(Oc2cc(F)cc(F)c2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,"InChI=1S/C23H20F2N2O6/c1-13(12-31-2)32-18-5-15(22(28)27-21-4-3-14(11-26-21)23(29)30)6-19(10-18)33-20-8-16(24)7-17(25)9-20/h3-11,13H,12H2,1-2H3,(H,29,30)(H,26,27,28)/t13-/m0/s1",[C][O][C][C@H1][Branch1][C][C][O][C][=C][C][Branch1][S][O][C][=C][C][Branch1][C][F][=C][C][Branch1][C][F][=C][Ring1][Branch2][=C][C][=Branch1][Ring2][=C][Ring1][#C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=N][Ring1][=Branch1][C][=Branch1][C][=O][O],"6-[[3-(3,5-difluorophenoxy)-5-[(2s)-1-methoxypropan-2-yl]oxybenzoyl]amino]pyridine-3-carboxylic acid",1.36
CSCc1cc(nc(n1)c2ccccc2)N3CCOCC3,"InChI=1S/C16H19N3OS/c1-21-12-14-11-15(19-7-9-20-10-8-19)18-16(17-14)13-5-3-2-4-6-13/h2-6,11H,7-10,12H2,1H3",[C][S][C][C][=C][C][=Branch1][S][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][O][C][C][Ring1][=Branch1],4-(methylsulfanylmethyl)-6-morpholin-4-yl-2-phenylpyrimidine,3.26
Oc1ccc(cc1)C2=COc3cc(O)ccc3C2=O,"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H",[O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][O][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][C][Ring1][O][=O],7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one,2.46
CN1C(=O)C(=Cc2cnc(NC(CCO)CCO)nc12)Oc3ccc(F)cc3F,"InChI=1S/C19H20F2N4O4/c1-25-17-11(10-22-19(24-17)23-13(4-6-26)5-7-27)8-16(18(25)28)29-15-3-2-12(20)9-14(15)21/h2-3,8-10,13,26-27H,4-7H2,1H3,(H,22,23,24)",[C][N][C][=Branch1][C][=O][C][=Branch2][Ring1][=Branch2][=C][C][=C][N][=C][Branch1][O][N][C][Branch1][Ring2][C][C][O][C][C][O][N][=C][Ring2][Ring1][Ring1][Ring1][=C][O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][F],"6-(2,4-difluorophenoxy)-2-(1,5-dihydroxypentan-3-ylamino)-8-methylpyrido[6,5-d]pyrimidin-7-one",1.5
CCc1ccc(NC(=O)c2ccc3cc(ccc3c2)C(=N)N)cc1,"InChI=1S/C20H19N3O/c1-2-13-3-9-18(10-4-13)23-20(24)17-8-6-14-11-16(19(21)22)7-5-15(14)12-17/h3-12H,2H2,1H3,(H3,21,22)(H,23,24)",[C][C][C][=C][C][=C][Branch2][Ring1][O][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C][=Branch1][C][=N][N][C][=C][Ring2][Ring1][=Branch1],6-carbamimidoyl-n-(4-ethylphenyl)naphthalene-2-carboxamide,1.1
CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NC=O)C(=O)C(F)(F)F,"InChI=1S/C20H20F3N3O4/c1-12(2)17(18(29)20(21,22)23)25-16(28)10-26-15(13-6-4-3-5-7-13)9-8-14(19(26)30)24-11-27/h3-9,11-12,17H,10H2,1-2H3,(H,24,27)(H,25,28)",[C][C][Branch1][C][C][C][Branch2][Ring1][#C][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=Branch1][=C][=C][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=O][C][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],"2-(3-formamido-2-oxo-6-phenylpyridin-1-yl)-n-(1,1,1-trifluoro-4-methyl-2-oxopentan-3-yl)acetamide",1.84
Nc1cccc2C(=O)N(Cc3cccc(Cl)c3)C(=O)c12,"InChI=1S/C15H11ClN2O2/c16-10-4-1-3-9(7-10)8-18-14(19)11-5-2-6-12(17)13(11)15(18)20/h1-7H,8,17H2",[N][C][=C][C][=C][C][C][=Branch1][C][=O][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][Ring2][Ring1][Ring1][=Ring1][#C],"4-amino-2-[(3-chlorophenyl)methyl]isoindole-1,3-dione",3.18
NC(=O)Nc1cc(sc1C(=O)N[C@H]2CCCNC2)c3ccccc3,"InChI=1S/C17H20N4O2S/c18-17(23)21-13-9-14(11-5-2-1-3-6-11)24-15(13)16(22)20-12-7-4-8-19-10-12/h1-3,5-6,9,12,19H,4,7-8,10H2,(H,20,22)(H3,18,21,23)/t12-/m0/s1",[N][C][=Branch1][C][=O][N][C][C][=C][Branch2][Ring1][C][S][C][=Ring1][Branch1][C][=Branch1][C][=O][N][C@H1][C][C][C][N][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],3-(carbamoylamino)-5-phenyl-n-[(3s)-piperidin-3-yl]thiophene-2-carboxamide,1.04
Nc1nc(Cl)nc(NCc2ccccc2)n1,"InChI=1S/C10H10ClN5/c11-8-14-9(12)16-10(15-8)13-6-7-4-2-1-3-5-7/h1-5H,6H2,(H3,12,13,14,15,16)",[N][C][=N][C][Branch1][C][Cl][=N][C][Branch1][O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][Ring1][#C],"6-chloro-n-(phenylmethyl)-1,3,5-triazine-2,4-diamine",2.26
COc1cccc(COCC(O)CN2CCC(CC2)C(=O)N)c1,"InChI=1S/C17H26N2O4/c1-22-16-4-2-3-13(9-16)11-23-12-15(20)10-19-7-5-14(6-8-19)17(18)21/h2-4,9,14-15,20H,5-8,10-12H2,1H3,(H2,18,21)",[C][O][C][=C][C][=C][C][Branch2][Ring1][Branch2][C][O][C][C][Branch1][C][O][C][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][N][=C][Ring2][Ring1][Branch1],1-[2-hydroxy-3-[(3-methoxyphenyl)methoxy]propyl]piperidine-4-carboxamide,-0.5
COC[C@H](C)Oc1cc(Oc2ccccc2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,"InChI=1S/C23H22N2O6/c1-15(14-29-2)30-19-10-17(11-20(12-19)31-18-6-4-3-5-7-18)22(26)25-21-9-8-16(13-24-21)23(27)28/h3-13,15H,14H2,1-2H3,(H,27,28)(H,24,25,26)/t15-/m0/s1",[C][O][C][C@H1][Branch1][C][C][O][C][=C][C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][=Branch1][Ring2][=C][Ring1][=N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=N][Ring1][=Branch1][C][=Branch1][C][=O][O],6-[[3-[(2s)-1-methoxypropan-2-yl]oxy-5-(phenoxy)benzoyl]amino]pyridine-3-carboxylic acid,0.95
CCOc1ccc(NC(=O)C)cc1,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",[C][C][O][C][=C][C][=C][Branch1][#Branch1][N][C][=Branch1][C][=O][C][C][=C][Ring1][#Branch2],n-(4-ethoxyphenyl)acetamide,1.5
OC(=O)Cc1csc(n1)c2ccc(Cl)cc2,"InChI=1S/C11H8ClNO2S/c12-8-3-1-7(2-4-8)11-13-9(6-16-11)5-10(14)15/h1-4,6H,5H2,(H,14,15)",[O][C][=Branch1][C][=O][C][C][=C][S][C][=Branch1][Ring2][=N][Ring1][Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],"2-[2-(4-chlorophenyl)-1,3-thiazol-4-yl]acetic acid",-0.22
OC(=O)c1cccc(c1)c2ccc3c(C(=O)NCC45CC6CC(CC(C6)C4)C5)c(Cl)ccc3n2,"InChI=1S/C28H27ClN2O3/c29-22-5-7-24-21(4-6-23(31-24)19-2-1-3-20(11-19)27(33)34)25(22)26(32)30-15-28-12-16-8-17(13-28)10-18(9-16)14-28/h1-7,11,16-18H,8-10,12-15H2,(H,30,32)(H,33,34)",[O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][Branch2][Ring1][O][C][=Branch1][C][=O][N][C][C][C][C][C][C][Branch1][O][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][Ring1][=Branch2][C][Ring1][#Branch2][=C][Branch1][C][Cl][C][=C][C][Ring2][Ring1][Branch1][=N][Ring2][Ring1][=Branch2],3-[5-(1-adamantylmethylcarbamoyl)-6-chloroquinolin-2-yl]benzoic acid,2.84
CN1CCN(CC1)C(=O)c2cc3cc(Cl)ccc3[nH]2,"InChI=1S/C14H16ClN3O/c1-17-4-6-18(7-5-17)14(19)13-9-10-8-11(15)2-3-12(10)16-13/h2-3,8-9,16H,4-7H2,1H3",[C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][NH1][Ring1][#Branch2],(5-chloro-1h-indol-2-yl)-(4-methylpiperazin-1-yl)methanone,2.4
OC[C@H](Nc1ncc(Cl)c(Nc2cc([nH]n2)C3CC3)n1)c4ccc(F)cc4,"InChI=1S/C18H18ClFN6O/c19-13-8-21-18(22-15(9-27)11-3-5-12(20)6-4-11)24-17(13)23-16-7-14(25-26-16)10-1-2-10/h3-8,10,15,27H,1-2,9H2,(H3,21,22,23,24,25,26)/t15-/m0/s1",[O][C][C@H1][Branch2][Ring1][=C][N][C][=N][C][=C][Branch1][C][Cl][C][Branch1][S][N][C][C][=C][Branch1][Branch1][NH1][N][=Ring1][Branch1][C][C][C][Ring1][Ring1][=N][Ring1][S][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],(2r)-2-[[5-chloro-4-[(5-cyclopropyl-1h-pyrazol-3-yl)amino]pyrimidin-2-yl]amino]-2-(4-fluorophenyl)ethanol,3.75
OC(=O)CNCCNc1ccc(Cl)c(c1)C(=O)NCC23CC4CC(CC(C4)C2)C3,"InChI=1S/C22H30ClN3O3/c23-19-2-1-17(25-4-3-24-12-20(27)28)8-18(19)21(29)26-13-22-9-14-5-15(10-22)7-16(6-14)11-22/h1-2,8,14-16,24-25H,3-7,9-13H2,(H,26,29)(H,27,28)",[O][C][=Branch1][C][=O][C][N][C][C][N][C][=C][C][=C][Branch1][C][Cl][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][C][C][C][C][C][C][Branch1][O][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][Ring1][=Branch2][C][Ring1][#Branch2],2-[2-[[3-(1-adamantylmethylcarbamoyl)-4-chlorophenyl]amino]ethylamino]acetic acid,1.94
CCNC(=O)c1ccc(C)c(c1)N2C=Nc3ccc(cc3C2=O)N4CCN(C)CC4,"InChI=1S/C23H27N5O2/c1-4-24-22(29)17-6-5-16(2)21(13-17)28-15-25-20-8-7-18(14-19(20)23(28)30)27-11-9-26(3)10-12-27/h5-8,13-15H,4,9-12H2,1-3H3,(H,24,29)",[C][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=Branch1][Ring2][=C][Ring1][#Branch1][N][C][=N][C][=C][C][=C][Branch1][=Branch2][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=O][N][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1],n-ethyl-4-methyl-3-[6-(4-methylpiperazin-1-yl)-4-oxoquinazolin-3-yl]benzamide,1.47
O=C(Nc1nc(cs1)c2ccccc2)c3cccnc3,"InChI=1S/C15H11N3OS/c19-14(12-7-4-8-16-9-12)18-15-17-13(10-20-15)11-5-2-1-3-6-11/h1-10H,(H,17,18,19)",[O][=C][Branch2][Ring1][Ring1][N][C][=N][C][=Branch1][Branch1][=C][S][Ring1][Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][N][=C][Ring1][=Branch1],"n-(4-phenyl-1,3-thiazol-2-yl)pyridine-3-carboxamide",3.62
CS(=O)(=O)n1c2ccccc2c3cc(NC(=O)CCc4ccncc4)ccc13,"InChI=1S/C21H19N3O3S/c1-28(26,27)24-19-5-3-2-4-17(19)18-14-16(7-8-20(18)24)23-21(25)9-6-15-10-12-22-13-11-15/h2-5,7-8,10-14H,6,9H2,1H3,(H,23,25)",[C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][S][N][C][=Branch1][C][=O][C][C][C][=C][C][=N][C][=C][Ring1][=Branch1][=C][C][=C][Ring2][Ring1][Branch2][Ring1][P],n-(9-methylsulfonylcarbazol-3-yl)-3-pyridin-4-ylpropanamide,3.4
Nc1nnc(Cc2ccc(Cl)cc2)s1,"InChI=1S/C9H8ClN3S/c10-7-3-1-6(2-4-7)5-8-12-13-9(11)14-8/h1-4H,5H2,(H2,11,13)",[N][C][=N][N][=C][Branch1][=N][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][S][Ring1][=N],"5-[(4-chlorophenyl)methyl]-1,3,4-thiadiazol-2-amine",2.34
C[C@H](CO)Nc1nc(SCc2ccccc2F)nc3nc(N)sc13,"InChI=1S/C15H16FN5OS2/c1-8(6-22)18-12-11-13(19-14(17)24-11)21-15(20-12)23-7-9-4-2-3-5-10(9)16/h2-5,8,22H,6-7H2,1H3,(H3,17,18,19,20,21)/t8-/m1/s1",[C][C@H1][Branch1][Ring1][C][O][N][C][=N][C][Branch1][N][S][C][C][=C][C][=C][C][=C][Ring1][=Branch1][F][=N][C][N][=C][Branch1][C][N][S][C][Ring2][Ring1][Ring1][=Ring1][=Branch1],"(2r)-2-[[2-amino-5-[(2-fluorophenyl)methylsulfanyl]-[1,3]thiazolo[5,4-e]pyrimidin-7-yl]amino]propan-1-ol",3.12
Nc1ccc2ccccc2n1,"InChI=1S/C9H8N2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,(H2,10,11)",[N][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2],quinolin-2-amine,1.7
O=C1C=C(Oc2c1cccc2c3ccccc3)N4CCOCC4,"InChI=1S/C19H17NO3/c21-17-13-18(20-9-11-22-12-10-20)23-19-15(7-4-8-16(17)19)14-5-2-1-3-6-14/h1-8,13H,9-12H2",[O][=C][C][=C][Branch2][Ring1][Ring2][O][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][O][C][C][Ring1][=Branch1],2-morpholin-4-yl-8-phenylchromen-4-one,2.9
Cc1c(c2cc(F)ccc2n1CC(=O)O)S(=O)(=O)c3ccc(Cl)cc3,"InChI=1S/C17H13ClFNO4S/c1-10-17(25(23,24)13-5-2-11(18)3-6-13)14-8-12(19)4-7-15(14)20(10)9-16(21)22/h2-8H,9H2,1H3,(H,21,22)",[C][C][=C][Branch2][Ring1][Branch1][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][N][Ring1][#Branch2][C][C][=Branch1][C][=O][O][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],2-[3-(4-chlorophenyl)sulfonyl-5-fluoro-2-methylindol-1-yl]acetic acid,-0.16
NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl,"InChI=1S/C8H8Cl3N3O4S2/c9-3-1-4-6(2-5(3)19(12,15)16)20(17,18)14-8(13-4)7(10)11/h1-2,7-8,13-14H,(H2,12,15,16)",[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][C][N][C][Branch1][=Branch2][N][S][Ring1][=Branch1][=Branch1][C][=O][=O][C][Branch1][C][Cl][Cl][C][=C][Ring1][#C][Cl],"6-chloro-3-(dichloromethyl)-1,1-dioxo-3,4-dihydro-2h-benzo[e][1,2,4]thiadiazine-7-sulfonamide",0.37
O=C(NCCCCc1ccccc1)c2ccccc2,"InChI=1S/C17H19NO/c19-17(16-12-5-2-6-13-16)18-14-8-7-11-15-9-3-1-4-10-15/h1-6,9-10,12-13H,7-8,11,14H2,(H,18,19)",[O][=C][Branch1][=C][N][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],n-(4-phenylbutyl)benzamide,3.8
NC(=O)C1CCCCC1,"InChI=1S/C7H13NO/c8-7(9)6-4-2-1-3-5-6/h6H,1-5H2,(H2,8,9)",[N][C][=Branch1][C][=O][C][C][C][C][C][C][Ring1][=Branch1],cyclohexanecarboxamide,0.9
CN(C)c1ncnc2nc[nH]c12,"InChI=1S/C7H9N5/c1-12(2)7-5-6(9-3-8-5)10-4-11-7/h3-4H,1-2H3,(H,8,9,10,11)",[C][N][Branch1][C][C][C][=N][C][=N][C][N][=C][NH1][C][Ring1][=Branch2][=Ring1][Branch1],"n,n-dimethyl-7h-purin-6-amine",0.95
COc1ccc(cc1)S(=O)(=O)Nc2ccccn2,"InChI=1S/C12H12N2O3S/c1-17-10-5-7-11(8-6-10)18(15,16)14-12-4-2-3-9-13-12/h2-9H,1H3,(H,13,14)",[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][C][=N][Ring1][=Branch1],4-methoxy-n-pyridin-2-ylbenzenesulfonamide,0.87
COc1ccc(NC(=O)C=C)cc1,"InChI=1S/C10H11NO2/c1-3-10(12)11-8-4-6-9(13-2)7-5-8/h3-7H,1H2,2H3,(H,11,12)",[C][O][C][=C][C][=C][Branch1][Branch2][N][C][=Branch1][C][=O][C][=C][C][=C][Ring1][O],n-(4-methoxyphenyl)prop-2-enamide,1.68
Cn1c(Nc2ccc(cc2)C(F)(F)F)nc3cc(Oc4ccnc(c4)c5ncc([nH]5)C(F)(F)F)ccc13,"InChI=1S/C24H16F6N6O/c1-36-19-7-6-15(10-17(19)34-22(36)33-14-4-2-13(3-5-14)23(25,26)27)37-16-8-9-31-18(11-16)21-32-12-20(35-21)24(28,29)30/h2-12H,1H3,(H,32,35)(H,33,34)",[C][N][C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][=N][C][=C][C][Branch2][Ring1][=N][O][C][=C][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=N][C][=C][Branch1][Ring2][NH1][Ring1][Branch1][C][Branch1][C][F][Branch1][C][F][F][=C][C][=C][Ring2][Ring2][Ring2][Ring2][Ring1][=Branch1],1-methyl-5-[2-[4-(trifluoromethyl)-3h-imidazol-2-yl]pyridin-4-yl]oxy-n-[4-(trifluoromethyl)phenyl]benzimidazol-2-amine,3.45
Nc1nc(ns1)c2ccccc2,"InChI=1S/C8H7N3S/c9-8-10-7(11-12-8)6-4-2-1-3-5-6/h1-5H,(H2,9,10,11)",[N][C][=N][C][=Branch1][Branch1][=N][S][Ring1][Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],"3-phenyl-1,2,4-thiadiazol-5-amine",2.2
CC(N(O)C(=O)N)c1cc2ccccc2s1,"InChI=1S/C11H12N2O2S/c1-7(13(15)11(12)14)10-6-8-4-2-3-5-9(8)16-10/h2-7,15H,1H3,(H2,12,14)",[C][C][Branch1][#Branch2][N][Branch1][C][O][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2],1-[1-(1-benzothiophen-2-yl)ethyl]-1-hydroxyurea,2.05
Cc1onc(NC(=O)CSc2nc(C)cc(C)n2)c1,"InChI=1S/C12H14N4O2S/c1-7-4-8(2)14-12(13-7)19-6-11(17)15-10-5-9(3)18-16-10/h4-5H,6H2,1-3H3,(H,15,16,17)",[C][C][O][N][=C][Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][C][S][C][=N][C][Branch1][C][C][=C][C][Branch1][C][C][=N][Ring1][Branch2][C][=Ring2][Ring1][C],"2-(4,6-dimethylpyrimidin-2-yl)sulfanyl-n-(5-methyl-1,2-oxazol-3-yl)acetamide",1.52
CN1C(=O)N(C)c2ncn(CC(O)CO)c2C1=O,"InChI=1S/C10H14N4O4/c1-12-8-7(9(17)13(2)10(12)18)14(5-11-8)3-6(16)4-15/h5-6,15-16H,3-4H2,1-2H3",[C][N][C][=Branch1][C][=O][N][Branch1][C][C][C][N][=C][N][Branch1][Branch2][C][C][Branch1][C][O][C][O][C][=Ring1][#Branch2][C][Ring1][S][=O],"7-(2,3-dihydroxypropyl)-1,3-dimethylpurine-2,6-dione",-1.25
CN1C(=O)CC(C)(CCc2cccc(c2)c3ccccc3)N=C1N,"InChI=1S/C20H23N3O/c1-20(14-18(24)23(2)19(21)22-20)12-11-15-7-6-10-17(13-15)16-8-4-3-5-9-16/h3-10,13H,11-12,14H2,1-2H3,(H2,21,22)",[C][N][C][=Branch1][C][=O][C][C][Branch1][C][C][Branch2][Ring1][Branch1][C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring2][Ring1][=Branch1][N],"2-amino-3,6-dimethyl-6-[2-(3-phenylphenyl)ethyl]-5h-pyrimidin-4-one",2.03
COc1cc(ccc1Cc2cn(C)c3ccc(cc23)C(=O)NCCc4ccccc4)C(=O)NS(=O)(=O)c5ccccc5C,"InChI=1S/C34H33N3O5S/c1-23-9-7-8-12-32(23)43(40,41)36-34(39)27-14-13-25(31(21-27)42-3)19-28-22-37(2)30-16-15-26(20-29(28)30)33(38)35-18-17-24-10-5-4-6-11-24/h4-16,20-22H,17-19H2,1-3H3,(H,35,38)(H,36,39)",[C][O][C][=C][C][=Branch2][Ring2][Branch2][=C][C][=C][Ring1][=Branch1][C][C][=C][N][Branch1][C][C][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C],3-[[2-methoxy-4-[(2-methylphenyl)sulfonylcarbamoyl]phenyl]methyl]-1-methyl-n-(2-phenylethyl)indole-5-carboxamide,2.51
Cc1ccc(cc1)c2nn(c3ncnc(N)c23)C(C)(C)C,"InChI=1S/C16H19N5/c1-10-5-7-11(8-6-10)13-12-14(17)18-9-19-15(12)21(20-13)16(2,3)4/h5-9H,1-4H3,(H2,17,18,19)",[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=N][N][Branch1][=C][C][=N][C][=N][C][Branch1][C][N][=C][Ring1][#Branch2][Ring1][#Branch1][C][Branch1][C][C][Branch1][C][C][C],"1-tert-butyl-3-(4-methylphenyl)pyrazolo[4,5-e]pyrimidin-4-amine",4.1
