doi,Electrical resistivity (Ωcm),Seebeck coefficient (μCV/K),ZT (thermoelectric figure of merit) ,formula,synthesis,form,temperature,Thermal conductivity (W/mK),Average atomic mass (g/mol),Scarcity (wt fraction/abundance),HHIP (Herfindahl?Hirschman Index for elemental production),HHIR (Herfindahl?Hirschman Index for elemental reserves),Unit cell volume (Å³),Average atomic volume (Å³),Atoms per unit cell,Electrical conductivity (Ω⁻¹ cm⁻¹),Power Factor (W/(K²m)),S² (μV/K)²,Electronic fraction of thermal conductivity (ϰₑ/ϰ)
10.1007/s11664-009-0815-2,0.0032,146,0.46,Cu1Rh0.9Mg0.1O2,Solid state reaction,polycrystalline,700,,47.65,485900000,2250,4486,140.56,11.713,12,313,0.000662,21200,
10.1007/s11664-009-0815-2,0.087,352,0.1,Cu1Cr0.98Mg0.02O2,Solid state reaction,polycrystalline,700,,36.75,8512,1883,2174,131.12,10.927,12,11.6,0.000143,124000,
10.1007/s11664-009-0815-2,0.041,-181,0.06,Zn0.9975Al0.0025O1,"solid state reaction, vacuum",polycrystalline,700,,40.64,10770,1363,1620,47.62,11.905,4,24.2,7.92E-05,32700,
10.1007/s11664-009-0815-2,0.015,-163,0.12,Zn0.995Al0.005O1,"solid state reaction, vacuum",polycrystalline,700,,40.59,10760,1362,1619,47.62,11.905,4,64.8,0.000172,26500,
10.1007/s11664-009-0815-2,0.011,-155,0.15,Zn0.9925Al0.0075O1,"solid state reaction, vacuum",polycrystalline,700,,40.55,10740,1362,1618,47.62,11.905,4,90.1,0.000215,23900,
10.1007/s11664-009-0815-2,0.00796,-147,0.19,Zn0.99Al0.01O1,"solid state reaction, vacuum",polycrystalline,700,,40.5,10730,1362,1616,47.62,11.905,4,126,0.000272,21600,
10.1007/s11664-009-0815-2,0.022,-178,0.1,Zn0.97Al0.03O1,"solid state reaction, vacuum",polycrystalline,700,,40.11,10610,1360,1608,47.62,11.905,4,45.2,0.000143,31500,
10.1007/s11664-009-0815-2,0.053,325,0.2,Cu1Fe0.9Cr0.1O2,Solid state reaction,polycrystalline,1000,,37.75,6756,1683,1344,136.95,11.412,12,18.8,0.000198,106000,
10.1007/s11664-009-0815-2,0.00408,168,0.69,Cu1Rh0.9Mg0.1O2,Solid state reaction,polycrystalline,1000,,47.65,485900000,2250,4486,140.56,11.713,12,245,0.000691,28200,
10.1007/s11664-009-0815-2,0.072,355,0.17,Cu1Cr0.98Mg0.02O2,Solid state reaction,polycrystalline,1000,,36.75,8512,1883,2174,131.12,10.927,12,13.9,0.000175,126000,
10.1007/s11664-009-0815-2,0.024,-219,0.2,Zn0.9975Al0.0025O1,"solid state reaction, vacuum",polycrystalline,1000,,40.64,10770,1363,1620,47.62,11.905,4,41.8,0.0002,47800,
10.1007/s11664-009-0815-2,0.011,-205,0.38,Zn0.995Al0.005O1,"solid state reaction, vacuum",polycrystalline,1000,,40.59,10760,1362,1619,47.62,11.905,4,91.4,0.000383,41900,
10.1007/s11664-009-0815-2,0.00953,-188,0.37,Zn0.9925Al0.0075O1,"solid state reaction, vacuum",polycrystalline,1000,,40.55,10740,1362,1618,47.62,11.905,4,105,0.00037,35300,
10.1007/s11664-009-0815-2,0.00772,-176,0.4,Zn0.99Al0.01O1,"solid state reaction, vacuum",polycrystalline,1000,,40.5,10730,1362,1616,47.62,11.905,4,130,0.0004,30900,
10.1007/s11664-009-0815-2,0.017,-208,0.25,Zn0.97Al0.03O1,"solid state reaction, vacuum",polycrystalline,1000,,40.11,10610,1360,1608,47.62,11.905,4,58.6,0.000252,43100,
10.1007/s11664-009-0975-0,0.000509,22,0.03,Cr1.3Mo6S8,"solid state reaction, vacuum",polycrystalline,300,1.938,58.82,557400,1985,3955,269.41,17.608,15.3,1970,9.09E-05,463,0.742
10.1007/s11664-009-0975-0,0.00069,27,0.03,Mn1.3Mo6S8,"solid state reaction, vacuum",polycrystalline,300,1.432,59.07,554800,1871,3777,816.76,18.15,45,1450,0.000108,745,0.74
10.1007/s11664-009-0975-0,0.00065,23,0.02,Fe1.3Mo6S8,"solid state reaction, vacuum",polycrystalline,300,1.488,59.14,554000,1937,3740,807.22,17.938,45,1540,7.88E-05,512,0.757
10.1007/s11664-009-0975-0,0.000618,8,0.00332,Ni2.0Mo6S8,"solid state reaction, vacuum",polycrystalline,300,1.714,59.35,528800,1782,3642,801.34,16.695,48,1620,1.11E-05,68.3,0.691
10.1007/s11664-009-0975-0,0.000832,48,0.08,Cu4.0Mo6S8,"solid state reaction, vacuum",polycrystalline,300,1.348,60.36,465000,1820,3380,853.58,15.807,54,1200,0.000275,2280,0.653
10.1007/s11664-009-0975-0,0.000552,27,0.05,Cr1.3Mo6S8,"solid state reaction, vacuum",polycrystalline,400,2.106,58.82,557400,1985,3955,269.41,17.608,15.3,1810,0.000133,733,0.84
10.1007/s11664-009-0975-0,0.000737,31,0.05,Mn1.3Mo6S8,"solid state reaction, vacuum",polycrystalline,400,1.627,59.07,554800,1871,3777,816.76,18.15,45,1360,0.00013,960,0.814
10.1007/s11664-009-0975-0,0.000673,28,0.05,Fe1.3Mo6S8,"solid state reaction, vacuum",polycrystalline,400,1.852,59.14,554000,1937,3740,807.22,17.938,45,1490,0.000118,795,0.783
10.1007/s11664-009-0975-0,0.000512,9,0.00657,Ni2.0Mo6S8,"solid state reaction, vacuum",polycrystalline,400,2.33,59.35,528800,1782,3642,801.34,16.695,48,1950,1.64E-05,84.1,0.819
10.1007/s11664-009-0975-0,0.00102,62,0.15,Cu4.0Mo6S8,"solid state reaction, vacuum",polycrystalline,400,1.431,60.36,465000,1820,3380,853.58,15.807,54,976,0.00037,3790,0.666
10.1007/s11664-009-0975-0,0.000693,51,0.26,Cr1.3Mo6S8,"solid state reaction, vacuum",polycrystalline,700,2.69,58.82,557400,1985,3955,269.41,17.608,15.3,1440,0.000378,2620,0.916
10.1007/s11664-009-0975-0,0.000878,48,0.18,Mn1.3Mo6S8,"solid state reaction, vacuum",polycrystalline,700,2.353,59.07,554800,1871,3777,816.76,18.15,45,1140,0.000259,2270,0.827
10.1007/s11664-009-0975-0,0.00076,45,0.19,Fe1.3Mo6S8,"solid state reaction, vacuum",polycrystalline,700,2.775,59.14,554000,1937,3740,807.22,17.938,45,1320,0.00027,2050,0.81
10.1007/s11664-009-0975-0,0.000457,21,0.07,Ni2.0Mo6S8,"solid state reaction, vacuum",polycrystalline,700,4.237,59.35,528800,1782,3642,801.34,16.695,48,2190,9.49E-05,434,0.883
10.1007/s11664-009-0975-0,0.00169,105,0.46,Cu4.0Mo6S8,"solid state reaction, vacuum",polycrystalline,700,1.791,60.36,465000,1820,3380,853.58,15.807,54,592,0.000657,11100,0.565
10.1007/s11664-009-0975-0,0.000814,70,0.6,Cr1.3Mo6S8,"solid state reaction, vacuum",polycrystalline,1000,3.192,58.82,557400,1985,3955,269.41,17.608,15.3,1230,0.000601,4890,0.939
10.1007/s11664-009-0975-0,0.000962,57,0.34,Mn1.3Mo6S8,"solid state reaction, vacuum",polycrystalline,1000,2.882,59.07,554800,1871,3777,816.76,18.15,45,1040,0.000343,3300,0.88
10.1007/s11664-009-0975-0,0.000826,54,0.35,Fe1.3Mo6S8,"solid state reaction, vacuum",polycrystalline,1000,3.416,59.14,554000,1937,3740,807.22,17.938,45,1210,0.000352,2910,0.865
10.1007/s11664-009-0975-0,0.000468,33,0.24,Ni2.0Mo6S8,"solid state reaction, vacuum",polycrystalline,1000,5.975,59.35,528800,1782,3642,801.34,16.695,48,2140,0.000236,1100,0.872
10.1007/s11664-009-0975-0,0.00218,133,0.81,Cu4.0Mo6S8,"solid state reaction, vacuum",polycrystalline,1000,2.039,60.36,465000,1820,3380,853.58,15.807,54,459,0.000812,17700,0.549
10.1016/0022-4596(91)90248-G,0.00576,-75,0.03,Ca0.9Tb0.1Mn1O3,Solid state reaction,polycrystalline,300,1.484,30.98,96250,2591,1460,209.58,10.479,20,174,9.76E-05,5620,0.086
10.1016/0022-4596(91)90248-G,0.00607,-46,0.01,Ca0.7Tb0.3Mn1O3,Solid state reaction,polycrystalline,300,2.17,35.73,249700,3759,1755,213.15,10.658,20,165,3.53E-05,2140,0.056
10.1016/0022-4596(91)90248-G,0.00669,-72,0.02,Ca0.9Ho0.1Mn1O3,Solid state reaction,polycrystalline,300,1.637,31.1,85220,2618,1467,209.04,10.452,20,149,7.75E-05,5190,0.067
10.1016/0022-4596(91)90248-G,0.00512,-44,0.01,Ca0.7Ho0.3Mn1O3,Solid state reaction,polycrystalline,300,2.144,36.09,219600,3816,1769,212.3,10.615,20,195,3.73E-05,1910,0.067
10.1016/0022-4596(91)90248-G,0.00437,-71,0.03,Ca0.9Y0.1Mn1O3,Solid state reaction,polycrystalline,300,1.489,29.58,2323,2287,1352,212.3,10.615,20,229,0.000114,4970,0.112
10.1016/0022-4596(91)90248-G,0.00763,-42,0.00681,Ca0.7Y0.3Mn1O3,Solid state reaction,polycrystalline,300,1.793,31.53,5816,3058,1490,219.83,10.992,20,131,2.27E-05,1730,0.054
10.1016/0022-4596(91)90248-G,0.00639,-94,0.06,Ca0.9Tb0.1Mn1O3,Solid state reaction,polycrystalline,400,1.571,30.98,96250,2591,1460,209.58,10.479,20,157,0.000138,8800,0.097
10.1016/0022-4596(91)90248-G,0.0055,-44,0.01,Ca0.7Tb0.3Mn1O3,Solid state reaction,polycrystalline,400,1.466,35.73,249700,3759,1755,213.15,10.658,20,182,3.58E-05,1970,0.121
10.1016/0022-4596(91)90248-G,0.0074,-82,0.04,Ca0.9Ho0.1Mn1O3,Solid state reaction,polycrystalline,400,1.546,31.1,85220,2618,1467,209.04,10.452,20,135,9.04E-05,6690,0.085
10.1016/0022-4596(91)90248-G,0.0044,-45,0.02,Ca0.7Ho0.3Mn1O3,Solid state reaction,polycrystalline,400,1.524,36.09,219600,3816,1769,212.3,10.615,20,228,4.62E-05,2030,0.146
10.1016/0022-4596(91)90248-G,0.00478,-82,0.06,Ca0.9Y0.1Mn1O3,Solid state reaction,polycrystalline,400,1.482,29.58,2323,2287,1352,212.3,10.615,20,209,0.00014,6680,0.138
10.1016/0022-4596(91)90248-G,0.00649,-42,0.01,Ca0.7Y0.3Mn1O3,Solid state reaction,polycrystalline,400,1.467,31.53,5816,3058,1490,219.83,10.992,20,154,2.67E-05,1730,0.102
10.1016/0022-4596(91)90248-G,0.00832,-125,0.13,Ca0.9Tb0.1Mn1O3,Solid state reaction,polycrystalline,700,1.575,30.98,96250,2591,1460,209.58,10.479,20,120,0.000187,15500,0.13
10.1016/0022-4596(91)90248-G,0.00526,-55,0.04,Ca0.7Tb0.3Mn1O3,Solid state reaction,polycrystalline,700,1.462,35.73,249700,3759,1755,213.15,10.658,20,190,5.82E-05,3060,0.222
10.1016/0022-4596(91)90248-G,0.0095,-101,0.08,Ca0.9Ho0.1Mn1O3,Solid state reaction,polycrystalline,700,1.518,31.1,85220,2618,1467,209.04,10.452,20,105,0.000108,10300,0.118
10.1016/0022-4596(91)90248-G,0.00377,-51,0.05,Ca0.7Ho0.3Mn1O3,Solid state reaction,polycrystalline,700,1.417,36.09,219600,3816,1769,212.3,10.615,20,265,6.90E-05,2600,0.32
10.1016/0022-4596(91)90248-G,0.00592,-113,0.15,Ca0.9Y0.1Mn1O3,Solid state reaction,polycrystalline,700,1.601,29.58,2323,2287,1352,212.3,10.615,20,169,0.000215,12700,0.18
10.1016/0022-4596(91)90248-G,0.00628,-52,0.03,Ca0.7Y0.3Mn1O3,Solid state reaction,polycrystalline,700,1.515,31.53,5816,3058,1490,219.83,10.992,20,159,4.38E-05,2750,0.18
10.1016/0022-4596(91)90248-G,0.01,-152,0.23,Ca0.9Tb0.1Mn1O3,Solid state reaction,polycrystalline,1000,1.604,30.98,96250,2591,1460,209.58,10.479,20,97.6,0.000227,23200,0.148
10.1016/0022-4596(91)90248-G,0.00559,-68,0.08,Ca0.7Tb0.3Mn1O3,Solid state reaction,polycrystalline,1000,1.681,35.73,249700,3759,1755,213.15,10.658,20,179,8.33E-05,4650,0.26
10.1016/0022-4596(91)90248-G,0.012,-115,0.11,Ca0.9Ho0.1Mn1O3,Solid state reaction,polycrystalline,1000,1.471,31.1,85220,2618,1467,209.04,10.452,20,86.4,0.000113,13100,0.143
10.1016/0022-4596(91)90248-G,0.00423,-65,0.1,Ca0.7Ho0.3Mn1O3,Solid state reaction,polycrystalline,1000,1.599,36.09,219600,3816,1769,212.3,10.615,20,237,9.91E-05,4190,0.361
10.1016/0022-4596(91)90248-G,0.0071,-136,0.26,Ca0.9Y0.1Mn1O3,Solid state reaction,polycrystalline,1000,1.629,29.58,2323,2287,1352,212.3,10.615,20,141,0.000259,18400,0.211
10.1016/0022-4596(91)90248-G,0.00707,-61,0.05,Ca0.7Y0.3Mn1O3,Solid state reaction,polycrystalline,1000,1.537,31.53,5816,3058,1490,219.83,10.992,20,141,5.23E-05,3700,0.225
10.1016/j.jallcom.2003.07.016,0.000494,-82,0.41,Ba0.3Sr0.6La0.1Ti1O3,"solid state reaction , Ar",polycrystalline,300,4.07,40.7,3096,2709,1946,59.36,11.872,5,2030,0.00137,6760,0.364
10.1016/j.jallcom.2003.07.016,0.000763,-101,0.54,Ba0.3Sr0.6La0.1Ti1O3,"solid state reaction , Ar",polycrystalline,400,3.36,40.7,3096,2709,1946,59.36,11.872,5,1310,0.00135,10300,0.381
10.1016/j.jallcom.2003.07.016,0.00273,-163,0.68,Ba0.3Sr0.6La0.1Ti1O3,"solid state reaction , Ar",polycrystalline,700,1.91,40.7,3096,2709,1946,59.36,11.872,5,366,0.000973,26600,0.328
10.1016/j.jallcom.2004.02.061,0.00105,-133,0.51,Zr1Ni1.98Cu0.02Sn1,"arc melted, Ar",polycrystalline,300,7.98,81.85,165700,2246,1848,228.44,19.037,12,952,0.00168,17700,0.087
10.1016/j.jallcom.2004.02.061,0.00876,-95,0.03,Zr1Ni0.76Co0.004Cu0.2Sn1,"arc melted, Ar",polycrystalline,300,6.02,90.24,201300,2555,1934,228.44,19.037,12,114,0.000103,9020,0.014
10.1016/j.jallcom.2004.02.061,0.00117,-136,0.63,Zr1Ni1.98Cu0.02Sn1,"arc melted, Ar",polycrystalline,400,6.795,81.85,165700,2246,1848,228.44,19.037,12,855,0.00158,18500,0.123
10.1016/j.jallcom.2004.02.061,0.00695,-130,0.1,Zr1Ni0.76Co0.004Cu0.2Sn1,"arc melted, Ar",polycrystalline,400,5.3,90.24,201300,2555,1934,228.44,19.037,12,144,0.000243,16900,0.026
10.1016/j.jallcom.2004.05.078,0.00932,-177,0.1,Zr0.5Hf0.5Ni1Sn1,"arc-melted, Ar",polycrystalline,300,3.949,104.09,262000,2643,2022,226.87,18.906,12,107,0.000337,31400,0.02
10.1016/j.jallcom.2004.05.078,0.00241,-250,0.78,Zr0.5Hf0.5Ni1Sn1.998Sb0.002,"arc-melted, Ar",polycrystalline,300,2.887,107.74,314900,2632,1917,226.87,18.906,12,415,0.0026,62500,0.105
10.1016/j.jallcom.2004.05.078,0.00117,-211,1.15,Zr0.5Hf0.5Ni1Sn1.994Sb0.006,"arc-melted, Ar",polycrystalline,300,2.767,107.75,320000,2638,1919,226.87,18.906,12,858,0.00382,44500,0.227
10.1016/j.jallcom.2004.05.078,0.00877,-182,0.11,Zr0.4Hf0.4Ti0.2Ni1Sn1,"arc-melted, Ar",polycrystalline,300,,98.29,258100,2524,1954,226.87,18.906,12,114,0.000377,33000,
10.1016/j.jallcom.2004.05.078,0.00841,-330,0.39,Zr0.35Hf0.35Ti0.3Ni1Sn1,"arc-melted, Ar",polycrystalline,300,,95.39,256000,2459,1917,226.87,18.906,12,119,0.00129,109000,
10.1016/j.jallcom.2004.05.078,0.00846,-316,0.35,Zr0.3Hf0.3Ti0.4Ni1Sn1,"arc-melted, Ar",polycrystalline,300,,92.49,253700,2389,1878,226.87,18.906,12,118,0.00118,100000,
10.1016/j.jallcom.2004.05.078,0.00495,-304,0.56,Zr0.25Hf0.25Ti0.5Ni1Sn1,"arc-melted, Ar",polycrystalline,300,,89.59,251300,2315,1836,226.87,18.906,12,202,0.00186,92200,
10.1016/j.jallcom.2004.05.078,0.00467,-251,0.4,Zr0.15Hf0.15Ti0.7Ni1Sn1,"arc-melted, Ar",polycrystalline,300,,83.79,246000,2152,1744,226.87,18.906,12,214,0.00135,62900,
10.1016/j.jallcom.2004.05.078,0.00217,-281,1.46,Zr0.5Hf0.5Ni1Sn1.998Sb0.002,"arc-melted, Ar",polycrystalline,400,2.713,107.74,314900,2632,1917,226.87,18.906,12,461,0.00364,79000,0.166
10.1016/j.jallcom.2004.05.078,0.00125,-237,1.79,Zr0.5Hf0.5Ni1Sn1.994Sb0.006,"arc-melted, Ar",polycrystalline,400,2.646,107.75,320000,2638,1919,226.87,18.906,12,798,0.00448,56200,0.295
10.1016/j.jallcom.2004.05.078,0.00236,-238,1.68,Zr0.5Hf0.5Ni1Sn1,"arc-melted, Ar",polycrystalline,700,3.113,104.09,262000,2643,2022,226.87,18.906,12,423,0.0024,56600,0.232
10.1016/j.jallcom.2004.05.078,0.00154,-307,4.27,Zr0.5Hf0.5Ni1Sn1.998Sb0.002,"arc-melted, Ar",polycrystalline,700,2.947,107.74,314900,2632,1917,226.87,18.906,12,648,0.0061,94200,0.375
10.1016/j.jallcom.2004.05.078,0.00132,-274,3.99,Zr0.5Hf0.5Ni1Sn1.994Sb0.006,"arc-melted, Ar",polycrystalline,700,2.964,107.75,320000,2638,1919,226.87,18.906,12,758,0.00569,75100,0.437
10.1016/j.jallcom.2004.05.078,0.00215,-287,2.69,Zr0.4Hf0.4Ti0.2Ni1Sn1,"arc-melted, Ar",polycrystalline,700,,98.29,258100,2524,1954,226.87,18.906,12,465,0.00384,82500,
10.1016/j.jallcom.2004.05.078,0.00235,-345,3.55,Zr0.35Hf0.35Ti0.3Ni1Sn1,"arc-melted, Ar",polycrystalline,700,,95.39,256000,2459,1917,226.87,18.906,12,426,0.00508,119000,
10.1016/j.jallcom.2004.05.078,0.00203,-358,4.41,Zr0.3Hf0.3Ti0.4Ni1Sn1,"arc-melted, Ar",polycrystalline,700,,92.49,253700,2389,1878,226.87,18.906,12,492,0.00631,128000,
10.1016/j.jallcom.2004.05.078,0.00189,-334,4.13,Zr0.25Hf0.25Ti0.5Ni1Sn1,"arc-melted, Ar",polycrystalline,700,,89.59,251300,2315,1836,226.87,18.906,12,530,0.0059,111000,
10.1016/j.jallcom.2004.05.078,0.00168,-261,2.83,Zr0.15Hf0.15Ti0.7Ni1Sn1,"arc-melted, Ar",polycrystalline,700,,83.79,246000,2152,1744,226.87,18.906,12,594,0.00404,68100,
10.1016/j.jallcom.2005.04.060,0.048,-191,0.02,Fe0.998Co0.002Si2,"arc-melted, Ar",polycrystalline,300,5.69,37.34,48.87,3570,1187,601.91,12.54,48,21.1,7.68E-05,36500,0.00271
10.1016/j.jallcom.2005.04.060,0.128,-318,0.02,Fe0.978Co0.00196Si1.96Y0.04O0.06,"arc-melted, Ar",polycrystalline,300,4.59,37.6,1051,3739,1227,601.91,12.54,48,7.843,7.93E-05,101000,0.00125
10.1016/j.jallcom.2005.04.060,0.27,-226,0.00568,Fe0.978Co0.00196Si1.96Y0.12O0.18,"arc-melted, Ar",polycrystalline,300,2.86,38.06,2834,4040,1297,601.91,12.54,48,3.704,1.89E-05,51100,0.000948
10.1016/j.jallcom.2005.04.060,0.026,-183,0.05,Fe0.998Co0.002Si2,"arc-melted, Ar",polycrystalline,400,5.34,37.34,48.87,3570,1187,601.91,12.54,48,38.5,0.000129,33500,0.00703
10.1016/j.jallcom.2005.04.060,0.056,-327,0.08,Fe0.978Co0.00196Si1.96Y0.04O0.06,"arc-melted, Ar",polycrystalline,400,4.09,37.6,1051,3739,1227,601.91,12.54,48,17.8,0.00019,107000,0.00424
10.1016/j.jallcom.2005.04.060,0.15,-227,0.01,Fe0.978Co0.00196Si1.96Y0.12O0.18,"arc-melted, Ar",polycrystalline,400,2.64,38.06,2834,4040,1297,601.91,12.54,48,6.689,3.45E-05,51500,0.00247
10.1016/j.jallcom.2005.04.060,0.012,-181,0.19,Fe0.998Co0.002Si2,"arc-melted, Ar",polycrystalline,700,4.9,37.34,48.87,3570,1187,601.91,12.54,48,81.3,0.000265,32600,0.028
10.1016/j.jallcom.2005.04.060,0.024,-287,0.24,Fe0.978Co0.00196Si1.96Y0.04O0.06,"arc-melted, Ar",polycrystalline,700,3.95,37.6,1051,3739,1227,601.91,12.54,48,41.7,0.000343,82400,0.018
10.1016/j.jallcom.2005.04.060,0.052,-222,0.07,Fe0.978Co0.00196Si1.96Y0.12O0.18,"arc-melted, Ar",polycrystalline,700,2.96,38.06,2834,4040,1297,601.91,12.54,48,19.3,9.51E-05,49300,0.011
10.1016/j.jallcom.2005.04.060,0.00605,-87,0.13,Fe0.998Co0.002Si2,"arc-melted, Ar",polycrystalline,1000,5.02,37.34,48.87,3570,1187,601.91,12.54,48,165,0.000126,7620,0.08
10.1016/j.jallcom.2005.04.060,0.012,-101,0.08,Fe0.978Co0.00196Si1.96Y0.04O0.06,"arc-melted, Ar",polycrystalline,1000,4.21,37.6,1051,3739,1227,601.91,12.54,48,82,8.33E-05,10200,0.048
10.1016/j.jallcom.2005.04.060,0.021,-68,0.02,Fe0.978Co0.00196Si1.96Y0.12O0.18,"arc-melted, Ar",polycrystalline,1000,3.22,38.06,2834,4040,1297,601.91,12.54,48,46.7,2.16E-05,4620,0.035
10.1016/j.jallcom.2006.02.075,0.000598,-113,0.64,Zr1Ni1Sn0.98Sb0.02,"arc melted, Ar",polycrystalline,300,8.5,89.56,241400,2567,1945,228.44,19.037,12,1670,0.00214,12800,0.144
10.1016/j.jallcom.2006.02.075,0.000771,-92,0.33,Zr0.94Y0.06Ni1Sn0.96Sb0.04,"arc melted, Ar",polycrystalline,300,8.35,89.54,283400,2742,1962,228.44,19.037,12,1300,0.0011,8460,0.114
10.1016/j.jallcom.2006.02.075,0.000624,-137,1.2,Zr1Ni1Sn0.98Sb0.02,"arc melted, Ar",polycrystalline,400,7.95,89.56,241400,2567,1945,228.44,19.037,12,1600,0.00301,18800,0.197
10.1016/j.jallcom.2006.02.075,0.000788,-109,0.6,Zr0.94Y0.06Ni1Sn0.96Sb0.04,"arc melted, Ar",polycrystalline,400,6.51,89.54,283400,2742,1962,228.44,19.037,12,1270,0.00151,11900,0.19
10.1016/j.jallcom.2007.09.101,0.00162,-89,0.15,Mg2Si1,"melted, Ar",polycrystalline,300,4.5,25.57,27.34,5057,683.1,258.55,21.546,12,616,0.000488,7920,0.1
10.1016/j.jallcom.2007.09.101,0.00104,-75,0.16,Mg1.95Ca0.05Si1,"melted, Ar",polycrystalline,300,5.6,25.83,27.02,5023,707.1,258.55,21.546,12,964,0.00054,5600,0.126
10.1016/j.jallcom.2007.09.101,0.00212,-61,0.05,Mg1.9Ca0.1Si1,"melted, Ar",polycrystalline,300,5.2,26.09,26.71,4990,730.6,258.55,21.546,12,472,0.000176,3720,0.066
10.1016/j.jallcom.2007.09.101,0.00198,-189,0.72,Mg2Si1,"melted, Ar",polycrystalline,400,4,25.57,27.34,5057,683.1,258.55,21.546,12,506,0.00181,35700,0.123
10.1016/j.jallcom.2007.09.101,0.00115,-95,0.31,Mg1.95Ca0.05Si1,"melted, Ar",polycrystalline,400,4.9,25.83,27.02,5023,707.1,258.55,21.546,12,870,0.000781,8990,0.173
10.1016/j.jallcom.2007.09.101,0.00214,-74,0.1,Mg1.9Ca0.1Si1,"melted, Ar",polycrystalline,400,4.7,26.09,26.71,4990,730.6,258.55,21.546,12,467,0.000256,5480,0.097
10.1016/j.jallcom.2007.09.101,0.0038,-267,1.31,Mg2Si1,"melted, Ar",polycrystalline,700,3.25,25.57,27.34,5057,683.1,258.55,21.546,12,263,0.00188,71300,0.138
10.1016/j.jallcom.2007.09.101,0.00255,-153,0.64,Mg1.95Ca0.05Si1,"melted, Ar",polycrystalline,700,3.8,25.83,27.02,5023,707.1,258.55,21.546,12,392,0.000917,23400,0.176
10.1016/j.jallcom.2007.09.101,0.00275,-130,0.43,Mg1.9Ca0.1Si1,"melted, Ar",polycrystalline,700,3.8,26.09,26.71,4990,730.6,258.55,21.546,12,364,0.000614,16900,0.163
10.1016/j.jallcom.2008.02.041,0.031,-271,0.07,Ti1Ni1Sn1,"arc-melted, vacuum",polycrystalline,300,6.076,75.09,236400,1861,1579,208.21,17.351,12,31.8,0.000234,73600,0.00383
10.1016/j.jallcom.2008.02.041,0.00116,-177,0.82,Ti0.99Nb0.01Ni1Sn1,"arc-melted, vacuum",polycrystalline,300,6.893,75.24,236100,1890,1609,208.21,17.351,12,866,0.00272,31400,0.092
10.1016/j.jallcom.2008.02.041,0.000654,-140,0.9,Ti0.98Nb0.02Ni1Sn1,"arc-melted, vacuum",polycrystalline,300,7.426,75.39,235900,1918,1638,208.21,17.351,12,1530,0.003,19600,0.151
10.1016/j.jallcom.2008.02.041,0.000351,-96,0.79,Ti0.95Nb0.05Ni1Sn1,"arc-melted, vacuum",polycrystalline,300,6.96,75.84,235200,2004,1726,208.21,17.351,12,2850,0.00264,9260,0.3
10.1016/j.jallcom.2008.02.041,0.031,-354,0.12,Zr1Ni1Sn1,"arc-melted, vacuum",polycrystalline,300,10.143,89.54,200100,2519,1929,226.87,18.906,12,31.8,0.000398,125000,0.0023
10.1016/j.jallcom.2008.02.041,0.0011,-171,0.8,Zr0.99Nb0.01Ni1Sn1,"arc-melted, vacuum",polycrystalline,300,9.676,89.55,200200,2537,1950,226.87,18.906,12,913,0.00267,29200,0.069
10.1016/j.jallcom.2008.02.041,0.000616,-131,0.84,Zr0.98Nb0.02Ni1Sn1,"arc-melted, vacuum",polycrystalline,300,10.059,89.55,200400,2554,1972,226.87,18.906,12,1620,0.0028,17300,0.118
10.1016/j.jallcom.2008.02.041,0.000337,-78,0.54,Zr0.95Nb0.05Ni1Sn1,"arc-melted, vacuum",polycrystalline,300,8.859,89.57,200900,2608,2036,226.87,18.906,12,2970,0.00181,6110,0.245
10.1016/j.jallcom.2008.02.041,0.00839,-296,0.42,Ti1Ni1Sn1,"arc-melted, vacuum",polycrystalline,400,5.195,75.09,236400,1861,1579,208.21,17.351,12,119,0.00104,87600,0.022
10.1016/j.jallcom.2008.02.041,0.00124,-192,1.19,Ti0.99Nb0.01Ni1Sn1,"arc-melted, vacuum",polycrystalline,400,5.862,75.24,236100,1890,1609,208.21,17.351,12,806,0.00299,37000,0.134
10.1016/j.jallcom.2008.02.041,0.000727,-159,1.38,Ti0.98Nb0.02Ni1Sn1,"arc-melted, vacuum",polycrystalline,400,6.328,75.39,235900,1918,1638,208.21,17.351,12,1380,0.00346,25100,0.212
10.1016/j.jallcom.2008.02.041,0.000396,-111,1.24,Ti0.95Nb0.05Ni1Sn1,"arc-melted, vacuum",polycrystalline,400,6.378,75.84,235200,2004,1726,208.21,17.351,12,2530,0.00311,12300,0.387
10.1016/j.jallcom.2008.02.041,0.00874,-343,0.54,Zr1Ni1Sn1,"arc-melted, vacuum",polycrystalline,400,8.395,89.54,200100,2519,1929,226.87,18.906,12,114,0.00134,117000,0.013
10.1016/j.jallcom.2008.02.041,0.00124,-189,1.15,Zr0.99Nb0.01Ni1Sn1,"arc-melted, vacuum",polycrystalline,400,8.212,89.55,200200,2537,1950,226.87,18.906,12,806,0.00288,35700,0.096
10.1016/j.jallcom.2008.02.041,0.000691,-148,1.27,Zr0.98Nb0.02Ni1Sn1,"arc-melted, vacuum",polycrystalline,400,8.678,89.55,200400,2554,1972,226.87,18.906,12,1450,0.00318,22000,0.163
10.1016/j.jallcom.2008.02.041,0.000364,-89,0.87,Zr0.95Nb0.05Ni1Sn1,"arc-melted, vacuum",polycrystalline,400,8.212,89.57,200900,2608,2036,226.87,18.906,12,2740,0.00218,7930,0.326
