doi,compound name,formula,group,organic,inorganic,iupac,dimensionality,sample type,code,level of theory,Exchange-correlation functional,k-point grid,level of relativity,basis set definition,numerical accuracy,synthesis starting materials,synthesis product,synthesis description,experimental method,experimental description
10.1016/0038-1098(85)90959-7,Methylammonium lead bromide,CH3NH3PbBr3,"Methanaminium tribromoplumbate(II), MAPbBr3, MAPB, (MA)PbBr3, (CH3NH3)PbBr3",CNH6,"PbBr3, Lead bromide",methanaminium lead(II) bromide,3,single crystal,,,,,,,,"HBr, CH3NH2, Pb(NO3)2",N-deuterated MAPbBr3 single crystals,Add concentrated HBr to neutralize 20 g of 40% CH3NH2 aqueous solution (D2O-H2O mixture). Add 7.1 g (0.021 mol) of Pb(NO3)2 solution drop-wise under vigorous stirring at 100°C to the concentrated CH3NH3Br solution. Red organic crystals form while dripping in the solution. Cool the solution to room temperature and filter out the crystals. Wash crystals firstly with n-butanol and then with benzene; subsequently dry crystals in vacuum.,2H and 14N NMR,"2H and 14N NMR spectra were recorded at 55.4257 and 26.083 MHz, respectively, on a Nicolet 360 NB spectrometer (B0 = 8.48 T). Refer to Page 581."
10.1016/0038-1098(85)90959-7,Methylammonium lead chloride,CH6NPbCl3,"(CH3NH3)PbCl3 , (CH3NH3)PbCl3, MAPbCl3, (MA)PbCl3, Methylammonium trichloroplumbate(II)",CH6N,"PbCl3, Lead chloride",methanaminium lead (II) chloride,3,single crystal,,,,,,,,Not specified,MAPbCl3 single crystals,The procedure mentioned in ref [1] for MAPbBr3 was modified. A D2O-H2O mixture was used to prepare the N-deuterated samples.,2H and 14N NMR,"2H and 14N NMR spectra were recorded at 55.4257 and 26.083 MHz, respectively, on a Nicolet 360 NB spectrometer (B0 = 8.48 T). Refer to Page 581."
10.1016/j.chempr.2017.02.004,Bis(butylammonium) tetrakis(methylammonium) lead iodide,(CH3(CH2)3NH3)2(CH3NH3)4Pb5I16,"(BA)2(MA)4Pb5I16, bis(butane-1-aminium) tetrakis(methanaminium) hexadecaiodo pentaplumbate(II)","C4H12N, CH6N","Pb5I16, Lead iodide",bis(butane-1-aminium) tetrakis(methanaminium) lead iodide,2,single crystal,,,,,,,,"PbO, MACL, n-butylamine, HI, H3PO2",Black crystals,"PbO (4,464 mg, 20 mmol) was dissolved in a solution of HI (20.0 mL, 152 mmol) and H3PO2 (3.4 mL,
31 mmol) and heated to boiling while being stirred for ~20 minutes, until a yellow solution formed. Then (MA)Cl (1,080 mg, 16 mmol) was added and immediately caused black powder to precipitate, which was re-dissolved from stirring and the solution became clear and bright-yellow again. Separately, n-butylamine (396 mL, 4 mmol) was added to HI (10 mL, 76 mmol) in an ice bath, making a pale-yellow solution. The solution was added to the former, and again a black solid immediately precipitated. It was dissolved by heating to boiling, at which point stirring ceased. Then the solution slowly cooled to room temperature and black solids began to crystalize. The solution was left for a day and then the crystals were removed by suction filtration. Lastly, they were dried at 60 degrees in a vacuum oven overnight.",Single-crystal X-ray diffraction,An image plate STOE IPDS II diffractometer with Mo Kα radiation (λ = 0.71073 Å) operated at 50 kV and 40 mA was used for SCXRD. The X-AREA suite was used for data reduction and absorption corrections. Charge flipping was used to solve the structure and refinement was performed by full-matrix least squares on F2 using the Jana2006 package.
10.1016/j.chempr.2017.02.004,Bis(butylammonium) tetrakis(methylammonium) lead iodide,(CH3(CH2)3NH3)2(CH3NH3)4Pb5I16,"(BA)2(MA)4Pb5I16, bis(butane-1-aminium) tetrakis(methanaminium) hexadecaiodo pentaplumbate(II)","C4H12N, CH6N","Pb5I16, Lead iodide",bis(butane-1-aminium) tetrakis(methanaminium) lead iodide,2,single crystal,,,,,,,,"PbO, MACL, n-butylamine, HI, H3PO2",Black crystals,"PbO (4,464 mg, 20 mmol) was dissolved in a solution of HI (20.0 mL, 152 mmol) and H3PO2 (3.4 mL, 31 mmol) and heated to boiling while being stirred for ~20 minutes, until a yellow solution formed. Then (MA)Cl (1,080 mg, 16 mmol) was added and immediately caused black powder to precipitate, which was re-dissolved from stirring and the solution became clear and bright-yellow again. Separately, n-butylamine (396 mL, 4 mmol) was added to HI (10 mL, 76 mmol) in an ice bath, making a pale-yellow solution. The solution was added to the former, and again a black solid immediately precipitated. It was dissolved by heating to boiling, at which point stirring ceased. Then the solution slowly cooled to room temperature and black solids began to crystalize. The solution was left for a day and then the crystals were removed by suction filtration. Lastly, they were dried at 60 degrees in a vacuum oven overnight.",Diffuse Reflectance Spectra,"A Shimadzu UV-3600 PC double beam, double-monochromator spectrophotometer was used to measure the optical diffuse reflectance spectra of powdered samples. BaSO4 was used as the 100% reflectance reference. The band gap was estimated after correcting for the excitonic peak and the Urbach tail in the absorption spectrum."
10.1016/j.chempr.2017.02.004,Bis(butylammonium) tetrakis(methylammonium) lead iodide,(CH3(CH2)3NH3)2(CH3NH3)4Pb5I16,"(BA)2(MA)4Pb5I16, bis(butane-1-aminium) tetrakis(methanaminium) hexadecaiodo pentaplumbate(II)","C4H12N, CH6N","Pb5I16, Lead iodide",bis(butane-1-aminium) tetrakis(methanaminium) lead iodide,2,single crystal,,,,,,,,"PbO, MACL, n-butylamine, HI, H3PO2",Black crystals,"PbO (4,464 mg, 20 mmol) was dissolved in a solution of HI (20.0 mL, 152 mmol) and H3PO2 (3.4 mL, 31 mmol) and heated to boiling while being stirred for ~20 minutes, until a yellow solution formed. Then (MA)Cl (1,080 mg, 16 mmol) was added and immediately caused black powder to precipitate, which was re-dissolved from stirring and the solution became clear and bright-yellow again. Separately, n-butylamine (396 mL, 4 mmol) was added to HI (10 mL, 76 mmol) in an ice bath, making a pale-yellow solution. The solution was added to the former, and again a black solid immediately precipitated. It was dissolved by heating to boiling, at which point stirring ceased. Then the solution slowly cooled to room temperature and black solids began to crystalize. The solution was left for a day and then the crystals were removed by suction filtration. Lastly, they were dried at 60 degrees in a vacuum oven overnight.",Diffuse Reflectance Spectra,"A Shimadzu UV-3600 PC double beam, double-monochromator spectrophotometer was used to measure the optical diffuse reflectance spectra of powdered samples. BaSO4 was used as the 100% reflectance reference. The band gap was estimated after correcting for the excitonic peak and the Urbach tail in the absorption spectrum."
10.1016/j.chempr.2017.02.004,Bis(butylammonium) tetrakis(methylammonium) lead iodide,(CH3(CH2)3NH3)2(CH3NH3)4Pb5I16,"(BA)2(MA)4Pb5I16, bis(butane-1-aminium) tetrakis(methanaminium) hexadecaiodo pentaplumbate(II)","C4H12N, CH6N","Pb5I16, Lead iodide",bis(butane-1-aminium) tetrakis(methanaminium) lead iodide,2,single crystal,,,,,,,,"PbO, MACL, n-butylamine, HI, H3PO2",Black crystals,"PbO (4,464 mg, 20 mmol) was dissolved in a solution of HI (20.0 mL, 152 mmol) and H3PO2 (3.4 mL, 31 mmol) and heated to boiling while being stirred for ~20 minutes, until a yellow solution formed. Then (MA)Cl (1,080 mg, 16 mmol) was added and immediately caused black powder to precipitate, which was re-dissolved from stirring and the solution became clear and bright-yellow again. Separately, n-butylamine (396 mL, 4 mmol) was added to HI (10 mL, 76 mmol) in an ice bath, making a pale-yellow solution. The solution was added to the former, and again a black solid immediately precipitated. It was dissolved by heating to boiling, at which point stirring ceased. Then the solution slowly cooled to room temperature and black solids began to crystalize. The solution was left for a day and then the crystals were removed by suction filtration. Lastly, they were dried at 60 degrees in a vacuum oven overnight.",Photoluminescence Spectra,"A Horiba LabRam Evolution high-resolution confocal Raman microscope spectrometer was used to measure PL spectra on the crystals. A diode continuous wave laser, exciting at 473 nm, and a Synapse charge-coupled device camera was part of the instrument. The laser beam was parallel to the (010) direction of the crystals and was aimed at an area of 10 square microns on the surface."
10.1016/j.chempr.2017.02.004,Bis(butylammonium) tetrakis(methylammonium) lead iodide,(CH3(CH2)3NH3)2(CH3NH3)4Pb5I16,"(BA)2(MA)4Pb5I16, bis(butane-1-aminium) tetrakis(methanaminium) hexadecaiodo pentaplumbate(II)","C4H12N, CH6N","Pb5I16, Lead iodide",bis(butane-1-aminium) tetrakis(methanaminium) lead iodide,2,single crystal,,,,,,,,"PbO, MACL, n-butylamine, HI, H3PO2",Black crystals,"PbO (4,464 mg, 20 mmol) was dissolved in a solution of HI (20.0 mL, 152 mmol) and H3PO2 (3.4 mL, 31 mmol) and heated to boiling while being stirred for ~20 minutes, until a yellow solution formed. Then (MA)Cl (1,080 mg, 16 mmol) was added and immediately caused black powder to precipitate, which was re-dissolved from stirring and the solution became clear and bright-yellow again. Separately, n-butylamine (396 mL, 4 mmol) was added to HI (10 mL, 76 mmol) in an ice bath, making a pale-yellow solution. The solution was added to the former, and again a black solid immediately precipitated. It was dissolved by heating to boiling, at which point stirring ceased. Then the solution slowly cooled to room temperature and black solids began to crystalize. The solution was left for a day and then the crystals were removed by suction filtration. Lastly, they were dried at 60 degrees in a vacuum oven overnight.",Photoluminescence Spectra,"A Horiba LabRam Evolution high-resolution confocal Raman microscope spectrometer was used to measure PL spectra on the crystals. A diode continuous wave laser, exciting at 473 nm, and a Synapse charge-coupled device camera was part of the instrument. The laser beam was parallel to the (010) direction of the crystals and was aimed at an area of 10 square microns on the surface."
10.1016/j.jssc.2006.09.023,Histammonium lead bromide,C5H11N3PbBr4,"4-(2-ethanaminium)-1H-imidazol-3-ium) tetrabromoplumbate(II), (HA)PbBr4, (HIS)PbBr4, (C5H11N3)PbBr4",C5H11N3,"PbBr4, Lead bromide",4-(2-ethanaminium)-1H-imidazol-3-ium) lead(II) bromide,2,single crystal,,,,,,,,"PbBr2 (99.99%), Histamine (98%), HBr (40%)",Pink crystals (yield: 40.3%),"Equimolar amounts of PbBr2 (0.367g, 0.1 mmol) and histamine (0.113 g 0.1 mmol) were mixed in 10mL HBr by heating and refluxing at 90 °C and then, the solution slowly cooled to room temperature in N2 atmosphere.",Single-crystal X-ray diffraction,A Rigaku RAXIS-RAPID image plate diffractometer employed the ω-scan technique and used Mo Kα radiation (λ=0.71069 Å). Structures were solved via direct methods using SHELXS-97 and full-matrix least-squares techniques using SHELXL-97 implemented in WINGX.
10.1016/j.jssc.2006.09.023,Histammonium lead bromide,C5H11N3PbBr4,"4-(2-ethanaminium)-1H-imidazol-3-ium) tetrabromoplumbate(II), (HA)PbBr4, (HIS)PbBr4, (C5H11N3)PbBr4",C5H11N3,"PbBr4, Lead bromide",4-(2-ethanaminium)-1H-imidazol-3-ium) lead(II) bromide,2,film,,,,,,,,"PbBr2 (99.99%), Histamine (98%), HBr (40%), DMF",Thin film on quartz substrate,"For preparing the crystals, equimolar amounts of PbBr2 (0.367g, 0.1 mmol) and histamine (0.113 g 0.1 mmol) were mixed in 10mL HBr by heating and refluxing at 90 °C and then, the solution slowly cooled to room temperature in N2 atmosphere. 10 mg of the obtained single crystals were dissolved into 1.5 mL dried DMF solution and then the solution was coated onto a quartz substrate. The spin cycle spent 1 s accelerating to 1200 rmp and then stayed at that rotation speed for 50 s. The substrate was then heated to 100 °C for 20 minutes.",UV-Vis absorption,A Hitachi F-4100 spectrofluorimeter was used to record the UV-Vis absorption spectra.
10.1016/j.jssc.2006.09.023,Histammonium lead bromide,C5H11N3PbBr4,"4-(2-ethanaminium)-1H-imidazol-3-ium) tetrabromoplumbate(II), (HA)PbBr4, (HIS)PbBr4, (C5H11N3)PbBr4",C5H11N3,"PbBr4, Lead bromide",4-(2-ethanaminium)-1H-imidazol-3-ium) lead(II) bromide,2,film,,,,,,,,"PbBr2 (99.99%), Histamine (98%), HBr (40%), DMF",Thin film on quartz substrate,"For preparing the crystals, equimolar amounts of PbBr2 (0.367g, 0.1 mmol) and histamine (0.113 g 0.1 mmol) were mixed in 10mL HBr by heating and refluxing at 90 °C and then, the solution slowly cooled to room temperature in N2 atmosphere. 10 mg of the obtained single crystals were dissolved into 1.5 mL dried DMF solution and then the solution was coated onto a quartz substrate. The spin cycle spent 1 s accelerating to 1200 rmp and then stayed at that rotation speed for 50 s. The substrate was then heated to 100 °C for 20 minutes.",Photoluminescence Spectroscopy,A Hitachi F-4500 spectrofluorimeter was used for emission spectra. A 150 W xenon lamp was used as the excitation source.
10.1016/j.jssc.2006.09.023,Histammonium lead chloride,(C5H11N3)PbCl4,"(HIS)PbCl4(HA)PbCl4, Histammonium lead chloride, 4-(2-ethanaminium)-1H-imidazol-3-ium tetrachloroplumbate",C5H11N3,"PbCl4, Lead chloride",4-(2-ethanaminium)-1H-imidazol-3-ium lead (II) chloride,2,film,,,,,,,,"PbCl2 (99.99%), Histamine (98%), HCl (36%), DMF",Thin film on quartz substrate,"For preparing the crystals, equimolar amounts of PbCl2 (0.278g, 0.1 mmol) and histamine (0.113 g 0.1 mmol) were mixed in 10mL HCl by heating and refluxing at 90 °C and then, the solution slowly cooled to room temperature in N2 atmosphere. 10 mg of the obtained single crystals were dissolved into 1.5 mL dried DMF solution and then the solution was coated onto a quartz substrate. The spin cycle spent 1 s accelerating to 1200 rmp and then stayed at that rotation speed for 50 s. The substrate was then heated to 100 °C for 20 minutes.",UV-Vis absorption,A Hitachi F-4100 spectrofluorimeter was used to measure the UV-Vis absorption spectra.
10.1016/j.jssc.2006.09.023,Histammonium lead chloride,(C5H11N3)PbCl4,"(HIS)PbCl4(HA)PbCl4, Histammonium lead chloride, 4-(2-ethanaminium)-1H-imidazol-3-ium tetrachloroplumbate",C5H11N3,"PbCl4, Lead chloride",4-(2-ethanaminium)-1H-imidazol-3-ium lead (II) chloride,2,film,,,,,,,,"bCl2 (99.99%), Histamine (98%), HCl (36%), DMF",Thin film on quartz substrate,"For preparing the crystals, equimolar amounts of PbCl2 (0.278g, 0.1 mmol) and histamine (0.113 g 0.1 mmol) were mixed in 10mL HCl by heating and refluxing at 90 °C and then, the solution slowly cooled to room temperature in N2 atmosphere. 10 mg of the obtained single crystals were dissolved into 1.5 mL dried DMF solution and then the solution was coated onto a quartz substrate. The spin cycle spent 1 s accelerating to 1200 rmp and then stayed at that rotation speed for 50 s. The substrate was then heated to 100 °C for 20 minutes.",Photoluminescence Spectroscopy,A Hitachi F-4500 spectrofluorimeter was used for emission spectra. A 150 W xenon lamp was used as the excitation source.
10.1016/j.materresbull.2017.09.054,Methylammonium tin chloride,CH6NSnCl3,"Methanaminium trichlorostannate(II), MASnCl3, CH3NH3SnCl3",CH6N,"SnCl3, Tin chloride",methanaminium tin chloride,3,single crystal,,,,,,,,"HCl, methylamine, SnCl2",,"Initially, methyl ammonium chloride (CH3NH3Cl) was synthesized by mixing 32.3 ml of HCl acid in 30 ml of methylamine. Powder of CH3NH3Cl was dissolved in the ethanol and was heated at 60 °C for four hours. The solution was frozen in the refrigerator for 3-5 days.  The obtained crystals were filtered.

CH3NH3Cl powder (0.395 gm) and SnCl2 (1.157 gm) were mixed in 2 ml DMF and kept for stirring at 60 °C for 8 h.",UV-vis absorption,"A UV-vis spectrophotometer (Model no. UV-1800,SHIMADZU) was used to measure the UV-vis absorption."
10.1016/j.nanoen.2016.09.009,Cesium tin bromide,CsSnBr3,Cesium tribromostannate(II),None,SnBr3,,3,film,,,,,,,,"SnBr2 (Alfa Aesar 99.4%), SnF2 and CsBr",yellow 97 nm thick CsSnBr3 film on glass,"For the perovskite layer, the desired thicknesses of SnBr2, SnF2, and CsBr were vapor-deposited at a rate of ~0.5Ǻ/s under a base pressure of ~10−6 Torr.",UV-vis absorption,
10.1016/j.poly.2018.11.026,"Bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead chloride",C30H42Cl10O2Pb4,"(S)-1-(1-naphthyl)ethy-lamineH)2[Pb4Cl10] ‚Ä¢ 2DMF, bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide decachloro tetraplumbate(II)","C12H14N, C3H7NO ","Pb4Cl10, Lead chloride","bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead (II) chloride",2,single crystal,,,,,,,,"S-NEA, PbCl2, DMF, 2-butanol",clear crystals,"First, a mixture of S-NEA (17.1 mg, 0.010 mmol) and PbCl2 (13.9 mg, 0.005 mmol) was created, and this mixture was weighted in a 4 mL scintillation vial. Next, the mixture was dissolved in 0.5 mL DMF solvent, after which 1 mL of 2-butanol was added on top of the DMF solution. Over a span of months, the solvents evaporated, and clear crystals resulted.",Single Crystal X-ray Diffraction,A Bruker D8 ADVANCE Series II (MoKα radiation) was used to to collect data at room temperature. Structures were then solved and refined through the Shelxl and Olex software.
10.1016/j.poly.2018.11.026,"Bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead chloride",C30H42Cl10O2Pb4,"(S)-1-(1-naphthyl)ethy-lamineH)2[Pb4Cl10] ‚Ä¢ 2DMF, bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide decachloro tetraplumbate(II)","C12H14N, C3H7NO ","Pb4Cl10, Lead chloride","bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead (II) chloride",2,powder,,,,,,,,"S-NEA, PbCl2, DMF, 2-butanol",clear crystals,"First, a mixture of S-NEA (17.1 mg, 0.010 mmol) and PbCl2 (13.9 mg, 0.005 mmol) was created, and this mixture was weighted in a 4 mL scintillation vial. Next, the mixture was dissolved in 0.5 mL DMF solvent, after which 1 mL of 2-butanol was added on top of the DMF solution. Over a span of months, the solvents evaporated, and clear crystals resulted.",infrared absorption,A Bruker VERTEX70 unit was used to collect data.
10.1016/j.poly.2018.11.026,"Bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead chloride",C30H42Cl10O2Pb4,"(S)-1-(1-naphthyl)ethy-lamineH)2[Pb4Cl10] ‚Ä¢ 2DMF, bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide decachloro tetraplumbate(II)","C12H14N, C3H7NO ","Pb4Cl10, Lead chloride","bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead (II) chloride",2,single crystal,,,,,,,,"S-NEA, PbCl2, DMF, 2-butanol",clear crystals,"First, a mixture of S-NEA (17.1 mg, 0.010 mmol) and PbCl2 (13.9 mg, 0.005 mmol) was created, and this mixture was weighted in a 4 mL scintillation vial. Next, the mixture was dissolved in 0.5 mL DMF solvent, after which 1 mL of 2-butanol was added on top of the DMF solution. Over a span of months, the solvents evaporated, and clear crystals resulted.",UV-vis absorption,A Shimadzu UV-3600 spectrophotometer was used to collect measurements. Diffuse reflectance data were converted to optical absorption via the Kubelka-Munk equation.
10.1016/j.poly.2018.11.026,"Bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead chloride",C30H42Cl10O2Pb4,"(S)-1-(1-naphthyl)ethy-lamineH)2[Pb4Cl10] ‚Ä¢ 2DMF, bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide decachloro tetraplumbate(II)","C12H14N, C3H7NO ","Pb4Cl10, Lead chloride","bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead (II) chloride",2,single crystal,,,,,,,,"S-NEA, PbCl2, DMF, 2-butanol",clear crystals,"First, a mixture of S-NEA (17.1 mg, 0.010 mmol) and PbCl2 (13.9 mg, 0.005 mmol) was created, and this mixture was weighted in a 4 mL scintillation vial. Next, the mixture was dissolved in 0.5 mL DMF solvent, after which 1 mL of 2-butanol was added on top of the DMF solution. Over a span of months, the solvents evaporated, and clear crystals resulted.",Photoluminescence,"A Horiba Jobi-Yvon LabRAM ARAMIS system was used to collect data at room temperature. The sample was excited with a 325nm He-Cd laser, focused through a 40x UV objective."
10.1016/j.poly.2018.11.026,"Bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead chloride",C30H42Cl10O2Pb4,"(S)-1-(1-naphthyl)ethy-lamineH)2[Pb4Cl10] ‚Ä¢ 2DMF, bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide decachloro tetraplumbate(II)","C12H14N, C3H7NO ","Pb4Cl10, Lead chloride","bis((S)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead (II) chloride",2,powder,,,,,,,,"S-NEA, PbCl2, DMF, 2-butanol",clear crystals,"First, a mixture of S-NEA (17.1 mg, 0.010 mmol) and PbCl2 (13.9 mg, 0.005 mmol) was created, and this mixture was weighted in a 4 mL scintillation vial. Next, the mixture was dissolved in 0.5 mL DMF solvent, after which 1 mL of 2-butanol was added on top of the DMF solution. Over a span of months, the solvents evaporated, and clear crystals resulted.",Thermogravimetric Analysis,A NETZSCH-STA-449F3 was used to collect data when the sample was in a dry nitrogen atmosphere.
10.1016/j.poly.2018.11.026,"Bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead chloride",C30H42Cl10O2Pb4,"(R)-1-(1-naphthyl)ethy-lamineH)2[Pb4Cl10] ‚Ä¢ 2DMF, bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide decachloro tetraplumbate(II)","C12H14N, C3H7NO","Pb4Cl10, Lead chloride","bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead (II) chloride",2,single crystal,,,,,,,,"R-NEA, PbCl2, DMF, 2-butanol",clear crystals,"First, a mixture of R-NEA (17.1 mg, 0.010 mmol) and PbCl2 (13.9 mg, 0.005 mmol) was created, and this mixture was weighted in a 4 mL scintillation vial. Next, the mixture was dissolved in 0.5 mL DMF solvent, after which 1 mL of 2-butanol was added on top of the DMF solution. Over a span of months, the solvents evaporated, and clear crystals resulted.",Single Crystal X-ray Diffraction,A Bruker D8 ADVANCE Series II (MoKα radiation) was used to to collect data at room temperature. Structures were then solved and refined through the Shelxl and Olex software.
10.1016/j.poly.2018.11.026,"Bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead chloride",C30H42Cl10O2Pb4,"(R)-1-(1-naphthyl)ethy-lamineH)2[Pb4Cl10] ‚Ä¢ 2DMF, bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide decachloro tetraplumbate(II)","C12H14N, C3H7NO","Pb4Cl10, Lead chloride","bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead (II) chloride",2,single crystal,,,,,,,,"R-NEA, PbCl2, DMF, 2-butanol",clear crystals,"First, a mixture of R-NEA (17.1 mg, 0.010 mmol) and PbCl2 (13.9 mg, 0.005 mmol) was created, and this mixture was weighted in a 4 mL scintillation vial. Next, the mixture was dissolved in 0.5 mL DMF solvent, after which 1 mL of 2-butanol was added on top of the DMF solution. Over a span of months, the solvents evaporated, and clear crystals resulted.",UV-vis absorption,A Shimadzu UV-3600 spectrophotometer was used to collect measurements. Diffuse reflectance data were converted to optical absorption via the Kubelka-Munk equation.
10.1016/j.poly.2018.11.026,"Bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead chloride",C30H42Cl10O2Pb4,"(R)-1-(1-naphthyl)ethy-lamineH)2[Pb4Cl10] ‚Ä¢ 2DMF, bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide decachloro tetraplumbate(II)","C12H14N, C3H7NO","Pb4Cl10, Lead chloride","bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead (II) chloride",2,single crystal,,,,,,,,"R-NEA, PbCl2, DMF, 2-butanol",clear crystals,"First, a mixture of R-NEA (17.1 mg, 0.010 mmol) and PbCl2 (13.9 mg, 0.005 mmol) was created, and this mixture was weighted in a 4 mL scintillation vial. Next, the mixture was dissolved in 0.5 mL DMF solvent, after which 1 mL of 2-butanol was added on top of the DMF solution. Over a span of months, the solvents evaporated, and clear crystals resulted.",Photoluminescence,"A Horiba Jobi-Yvon LabRAM ARAMIS system was used to collect data at room temperature. The sample was excited with a 325nm He-Cd laser, focused through a 40x UV objective."
10.1016/j.poly.2018.11.026,"Bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead chloride",C30H42Cl10O2Pb4,"(R)-1-(1-naphthyl)ethy-lamineH)2[Pb4Cl10] ‚Ä¢ 2DMF, bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide decachloro tetraplumbate(II)","C12H14N, C3H7NO","Pb4Cl10, Lead chloride","bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead (II) chloride",2,powder,,,,,,,,"R-NEA, PbCl2, DMF, 2-butanol",clear crystals,"First, a mixture of R-NEA (17.1 mg, 0.010 mmol) and PbCl2 (13.9 mg, 0.005 mmol) was created, and this mixture was weighted in a 4 mL scintillation vial. Next, the mixture was dissolved in 0.5 mL DMF solvent, after which 1 mL of 2-butanol was added on top of the DMF solution. Over a span of months, the solvents evaporated, and clear crystals resulted.",infrared absorption,A Bruker VERTEX70 unit was used to collect data.
10.1016/j.poly.2018.11.026,"Bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead chloride",C30H42Cl10O2Pb4,"(R)-1-(1-naphthyl)ethy-lamineH)2[Pb4Cl10] ‚Ä¢ 2DMF, bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide decachloro tetraplumbate(II)","C12H14N, C3H7NO","Pb4Cl10, Lead chloride","bis((R)-1-(1-naphthyl)ethylamineH) N,N-dimethylformamide lead (II) chloride",2,powder,,,,,,,,"R-NEA, PbCl2, DMF, 2-butanol",clear crystals,"First, a mixture of R-NEA (17.1 mg, 0.010 mmol) and PbCl2 (13.9 mg, 0.005 mmol) was created, and this mixture was weighted in a 4 mL scintillation vial. Next, the mixture was dissolved in 0.5 mL DMF solvent, after which 1 mL of 2-butanol was added on top of the DMF solution. Over a span of months, the solvents evaporated, and clear crystals resulted.",Thermogravimetric Analysis,A NETZSCH-STA-449F3 was used to collect data when the sample was in a dry nitrogen atmosphere.
10.1016/j.synthmet.2015.11.028,bis(methylammonium) lead thiocyanate iodide,C4H12N4S2PbI2,"bis(methanaminium) di-S-thiocyanato di-iodoplumbate(II), (MA)2Pb(SCN)2I2, (CH3NH3)2Pb(SCN)2I2",CNH6,"Pb(SCN)2I2, Lead thiocyanate iodide",bis(methanaminium) lead (II) thiocyanate iodide,2,single crystal,,,,,,,,"methylammonium iodide (MAI), lead thiocyanide (Pb(SCN)2), DMF, tetrahydrofuran (THF)",Red crystals,MAI and Pb(SCN)2 (2:1 molar ratio) were mixed into a DMF solution held at 60 degrees Celsius and stirred for 6 hours. A red-brown solid precipitated and was isolated by evaporating the solvent and then dissolving the solid in a tetrahydrofuran (THF) solution. The final product was then obtained by letting the solution evaporate at 50 degrees Celsius inside a vacuum for 24 hours.,Single-crystal X-ray diffraction,A Rapid Auto diffractometer was used at 293 K to collect SCXRD data using Mo Kα radiation (= 0.71073 Å). The structure was solved and refined with the SHELXL-software programs.
10.1016/j.synthmet.2015.11.028,bis(methylammonium) lead thiocyanate iodide,C4H12N4S2PbI2,"bis(methanaminium) di-S-thiocyanato di-iodoplumbate(II), (MA)2Pb(SCN)2I2, (CH3NH3)2Pb(SCN)2I2",CNH6,"Pb(SCN)2I2, Lead thiocyanate iodide",bis(methanaminium) lead (II) thiocyanate iodide,2,powder,,,,,,,,"methylammonium iodide (MAI), lead thiocyanide (Pb(SCN)2), DMF, tetrahydrofuran (THF)",Red crystals,MAI and Pb(SCN)2 (2:1 molar ratio) were mixed into a DMF solution held at 60 degrees Celsius and stirred for 6 hours. A red-brown solid precipitated and was isolated by evaporating the solvent and then dissolving the solid in a tetrahydrofuran (THF) solution. The final product was then obtained by letting the solution evaporate at 50 degrees Celsius inside a vacuum for 24 hours.,IR Spectroscopy,A Themo NICOLET-380 spectrophotometer was used to measure the IR spectra over the range 4000-400 cm^(-1). The samples were prepared with the KBr pellet method.
